sound,button,corr,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,sound_2.started,sound_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,back.started,back.stopped,image.started,image.stopped,sound_3.started,sound_3.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,6.537087899981998,None,space,0.8987369000096805,6.537087899981998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
,,,,,,,,,,,,,,7.453658599988557,10.453772499982733,10.436957199999597,None,12.437352709987318,None,1,0.8949372000060976,12.43685089997598,None,,,,,,,,,,,,,,,,,,,,,,,,,,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
,,,,,,,,,,,,,,,,,,,,,,,,13.353668699972332,None,2.0098238100181334,None,0,0.8270975000050385,15.33670269997674,None,,,,,,,,,,,,,,,,,,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.186705199972494,None,space,3.353092100005597,16.186705199972494,None,,,,,,,,,,,,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,R.png,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.619956399983494,None,20.603788799984613,None,20.603296209991093,None,0,1,2.191860999999335,19.619956399983494,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,L.png,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.85322509999969,None,22.83688540000003,None,22.836556809974716,None,0,1,2.5265467999852262,21.85322509999969,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,R.png,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.423321599984774,None,25.403307699976722,None,25.40358500999573,None,1,1,2.6204982999770436,24.423321599984774,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,L.png,1,1,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.087380399985705,None,28.069725299981656,None,28.070158309992983,None,1,1,1.6844287000130862,27.087380399985705,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,R.png,1,0,1,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.803036699973745,None,29.786659299978055,None,29.786315009978715,None,1,1,1.8968036000151187,28.803036699973745,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,R.png,0,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.73632440000074,None,31.720370899973204,None,31.71960940999852,None,0,1,1.6914875999791548,30.73632440000074,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,L.png,1,1,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.470267899974715,None,33.455912499979604,None,33.45289060999348,None,1,1,1.6855373000144027,32.470267899974715,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,L.png,0,0,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.20346829999471,None,35.18641019999632,None,35.18637920999608,None,0,1,1.8243506000144407,34.20346829999471,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,L.png,1,1,2,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.06947419999051,None,37.052813999995124,None,37.05284260998305,None,1,1,2.238538999983575,36.06947419999051,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,L.png,0,0,2,1,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35292289999779,None,39.33636629997636,None,39.336211209991596,None,0,1,1.93095949999406,38.35292289999779,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,R.png,1,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.31983589997981,None,41.30287539999699,None,41.3031483099825,None,1,1,1.8040586000133771,40.31983589997981,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
R.wav,R.png,0,1,2,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.17068759998074,None,43.152648899995256,None,43.1528503099893,None,0,1,1.7931623999902513,42.17068759998074,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
L.wav,R.png,1,0,3,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.002884499990614,None,44.986177499988116,None,44.98590250999259,None,1,1,1.816973599983612,44.002884499990614,None,123213,001,2021_Apr_22_1135,simon,2021.1.4,60.78340077909484,
