sound,button,corr,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,sound_2.started,sound_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,back.started,back.stopped,image.started,image.stopped,sound_3.started,sound_3.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.110208400001284,None,space,5.059403499995824,24.110208400001284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
,,,,,,,,,,,,,,29.20331390001229,32.21701349999057,32.18486040001153,None,34.183577960007824,None,1,0.8463460000057239,34.18347359998734,None,,,,,,,,,,,,,,,,,,,,,,,,,,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
,,,,,,,,,,,,,,,,,,,,,,,,35.05123280000407,None,2.0071814600087237,None,0,0.9427496999851428,37.03257350000786,None,,,,,,,,,,,,,,,,,,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99975779998931,None,space,1.4156595999957062,37.99975779998931,None,,,,,,,,,,,,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,R.png,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.49824499999522,None,40.46622900001239,None,40.464747260004515,None,1,1,2.062644099991303,39.49824499999522,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,L.png,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.611377399996854,None,42.60117539999192,None,42.598278760007815,None,1,1,2.0198597999988124,41.611377399996854,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
R.wav,R.png,0,1,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.675986899994314,None,44.66309310001088,None,44.66306066000834,None,0,1,2.0139466999971773,43.675986899994314,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
R.wav,L.png,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.73024350000196,None,46.714849499985576,None,46.71353996000835,None,0,1,2.779659099993296,45.73024350000196,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
R.wav,L.png,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.56441110000014,None,49.563338500011014,None,49.56126685999334,None,0,1,2.014866900019115,48.56441110000014,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,R.png,1,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.62812350000604,None,51.62747209999361,None,51.627266460011015,None,1,1,1.9300061000103597,50.62812350000604,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,L.png,1,1,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.59949540000525,None,53.59364869998535,None,53.59367825998925,None,1,1,1.6957359999942128,52.59949540000525,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
R.wav,R.png,0,1,1,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.336181699996814,None,55.326900199986994,None,55.326214859989705,None,0,1,2.0029977000085637,54.336181699996814,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,L.png,1,1,2,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.38664549999521,None,57.377799999987474,None,57.37709346000338,None,1,1,1.7954943000222556,56.38664549999521,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
R.wav,R.png,0,1,2,1,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.213537200004794,None,59.19499069999438,None,59.19163416000083,None,0,1,1.7362453000096139,58.213537200004794,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
L.wav,R.png,1,0,2,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.995695399993565,None,60.99266469999566,None,60.990955560002476,None,1,1,2.1066632000147365,59.995695399993565,None,KKH,001,2021_Apr_22_1759,simon,2021.1.2,60.4431571328408,
