sound,button,corr,congruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,sound_1.started,sound_1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,sound_2.started,sound_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,back.started,back.stopped,image.started,image.stopped,sound_3.started,sound_3.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.41878910001833,None,space,0.9220581999979913,17.41878910001833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
,,,,,,,,,,,,,,18.381734399998095,21.379792599997018,21.364535700005945,None,23.36287117001484,None,1,0.5188749000080861,23.362610500014853,None,,,,,,,,,,,,,,,,,,,,,,,,,,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
,,,,,,,,,,,,,,,,,,,,,,,,23.914749899995513,None,2.0064583699568175,None,0,0.45265479997033253,25.896441199991386,None,,,,,,,,,,,,,,,,,,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.381461400014814,None,space,0.7149162000278011,26.381461400014814,None,,,,,,,,,,,,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
R.wav,R.png,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.209094399993774,None,28.146383700019214,None,28.14630757001578,None,0,1,1.3894438000279479,27.209094399993774,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
R.wav,L.png,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65723229997093,None,29.646865600021556,None,29.646596370002953,None,0,1,1.496409900020808,28.65723229997093,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
L.wav,L.png,1,1,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21276789996773,None,31.197088500019163,None,31.196439170016674,None,1,1,1.4733855999656953,30.21276789996773,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
L.wav,R.png,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.733775399974547,None,32.71845330001088,None,32.71782087002066,None,1,1,1.5593676999560557,31.733775399974547,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
R.wav,L.png,0,0,1,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.36552719998872,None,34.34618639998371,None,34.34623436999391,None,0,1,1.454876300005708,33.36552719998872,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
L.wav,L.png,1,1,1,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.86431500001345,None,35.864535000000615,None,35.86317826996674,None,1,1,1.44328880001558,34.86431500001345,None,S001,001,2021_Apr_22_1820,simon,2021.1.2,59.92229277198131,
